Metric, 2mm,  3mm,  atax,  bicg,  cholesky,  doitgen,  gemm,  gemver,  gesummv,  mvt,  symm,  syr2k,  syrk,  trisolv,  trmm,  durbin,  dynprog,  gramschmidt,  lu,  ludcmp,  correlation,  covariance,  floyd-warshall,  reg_detect,  adi,  fdtd-2d,  fdtd-apml,  jacobi-1d,  jacobi-2d,  seidel-2d
Class, 2, 2, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0
Miss Ratio, 0.111493951166,  92.0050261813,  87.7746100765,  89.3477155382,  93.9989654296,  95.3041360473,  94.9533666293,  87.2440428206,  95.0737846405,  41.2077669437,  4.26809144927,  77.4456494813,  94.5746583581,  18.2058587253,  12.9551065155,  36.076036907,  6.03388308425,  6.02821569357,  20.4702130498,  20.0436749337,  18.7700913099,  22.6780346707,  22.6405490762,  74.0828517641,  89.2005362372,  63.5639423476,  21.2430980282,  89.6984296462,  54.3139163538,  84.9565668568
MPKI, 0.138747164871,  5.9065503308,  0.31611567581,  8.12068998074,  7.21204110119,  0.852923488663,  1.21559171425,  2.23382596266,  16.6462199209,  0.679107964469,  6.74546386766,  1.74519571106,  15.5318901956,  24.8578713474,  19.2942355189,  3.02649170703,  17.1602854084,  17.1538191489,  13.7877601929,  0.0254498281889,  8.93156102388,  13.910170119,  14.7358574657,  1.3286317779,  7.96815999958,  1.6743526582,  11.2997125161,  13.4818068999,  1.94794605506,  13.9063570211
CPI, 0.967323461055,  2.78982078282,  2.10033365189,  1.71315667107,  1.29778502495,  0.815380339168,  0.847530840108,  0.936276310745,  2.16142455702,  1.08807122247,  1.70634246004,  2.19383218951,  1.74476251879,  2.44033421758,  2.10218528437,  0.889325739975,  2.1553205444,  2.14981462906,  1.68014733162,  0.741257111951,  1.34310633916,  1.28314149171,  1.0756825153,  0.702448662497,  1.10121542821,  0.75625285314,  2.25365753611,  1.27918649366,  1.14170099474,  1.21907199364
IPC, 1.03378036434,  0.358445964042,  0.476114830183,  0.583717774845,  0.770543642263,  1.22642152621,  1.17989806704,  1.06806077279,  0.462657832193,  0.919057483876,  0.586048828662,  0.455823378279,  0.573143903097,  0.409779936205,  0.475695461972,  1.12444738193,  0.463968110265,  0.465156384407,  0.595185898987,  1.34905956904,  0.744542685003,  0.779337279994,  0.929642330124,  1.42359157813,  0.908087531633,  1.32230906085,  0.443723140707,  0.781746840631,  0.875886072283,  0.820296098356
