 Metric, doitgen,  fdtd-apml,  seidel-2d,  bicg,  syr2k,  gramschmidt,  adi,  gemsumv,  atax,  durbin,  syrk,  trmm,  symm,  dynprog,  correlation,  covariance,  mvt,  reg_detect,  gemver,  cholesky,  trisolv,  gemm,  2mm,  floyd-warshall,  jacobi-2d,  lu,  ludcmp,  jacobi-1d,  fdtd-2d,  3mm
Miss Ratio, 1.44875150561,  85.8413184764,  82.9610259465,  91.2341123264,  94.5401676572,  4.2330586818,  95.5562479392,  7.72354289604,  80.5047942903,  18.4738556437,  97.2716616493,  96.8296310008,  12.9026873902,  40.7786759857,  6.03268112816,  6.09970067395,  22.1799129462,  98.0146008119,  21.7450615797,  95.7422966647,  95.1055840807,  22.5646003397,  65.0192113811,  98.3554305039,  97.715838022,  96.5069213184,  22.3816646569,  98.5254800971,  97.6287621819,  84.3316245886
MPKI, 0.22973898886,  6.32405738323,  0.405963719342,  6.93988132123,  1.35958316882,  6.74354369916,  4.03199375885,  21.2242506198,  9.36453657355,  24.891857413,  3.09543656235,  3.3818975634,  19.2894994182,  3.60796364408,  17.1471197475,  10.7072727707,  14.8968245556,  7.22950372827,  10.2842414765,  6.295080173,  17.9620698787,  13.9086401658,  12.5384247952,  3.18592930077,  12.0660590567,  3.69564983462,  6.19531431628,  17.3539684025,  7.42012663599,  13.9292595605
CPI, 0.64498193468,  3.03352491864,  2.18154481942,  2.14095066382,  1.59725077224,  2.68444713884,  3.4670104826,  5.41122951293,  2.00724517539,  4.49566877976,  1.48460089887,  1.60488304755,  4.24072609016,  1.93220146088,  5.22336239447,  6.694139308,  2.98756108761,  2.64658596445,  2.53119291551,  1.95175923475,  3.44886638466,  2.76138343153,  6.47114744122,  2.16952454345,  3.34749823063,  2.44005520603,  4.96015336629,  4.0479924488,  3.54615104826,  4.3828587727
